CaseReference,PredictedSeverityScore,PredictedSevereProbability,RecommendedAction
HLD-000058,5,0.8749,Progress for investigation
HLD-000059,1,0.1118,Not progressed
HLD-000060,4,0.8066,Progress for investigation
HLD-000061,5,0.9036,Progress for investigation
HLD-000062,2,0.0433,Not progressed
HLD-000063,1,0.0369,Not progressed
HLD-000064,5,0.9289,Progress for investigation
HLD-000065,1,0.1043,Not progressed
HLD-000066,2,0.0251,Not progressed
HLD-000067,2,0.1198,Not progressed
HLD-000068,2,0.0643,Not progressed
HLD-000069,6,0.9943,Progress for investigation
HLD-000070,2,0.0328,Not progressed
HLD-000071,5,0.8666,Progress for investigation
HLD-000072,6,0.9316,Progress for investigation
HLD-000073,1,0.0217,Not progressed
HLD-000074,5,0.6015,Progress for investigation
HLD-000075,1,0.0149,Not progressed
HLD-000076,1,0.0049,Not progressed
HLD-000077,5,0.5582,Progress for investigation
HLD-000078,5,0.8353,Progress for investigation
HLD-000079,3,0.3576,Progress for investigation
HLD-000080,2,0.2148,Not progressed
HLD-000081,1,0.0194,Not progressed
HLD-000082,1,0.0099,Not progressed
HLD-000083,5,0.8682,Progress for investigation
HLD-000084,1,0.0105,Not progressed
HLD-000085,5,0.8374,Progress for investigation
HLD-000086,4,0.542,Progress for investigation
HLD-000087,6,0.981,Progress for investigation
HLD-000088,4,0.8332,Progress for investigation
HLD-000089,5,0.9296,Progress for investigation
HLD-000090,3,0.1683,Not progressed
HLD-000091,1,0.0078,Not progressed
HLD-000092,1,0.0167,Not progressed
HLD-000093,1,0.0295,Not progressed
HLD-000094,2,0.0345,Not progressed
HLD-000095,5,0.8507,Progress for investigation
HLD-000096,5,0.9623,Progress for investigation
HLD-000097,1,0.0347,Not progressed
HLD-000098,5,0.8297,Progress for investigation
HLD-000099,2,0.2033,Not progressed
HLD-000100,2,0.0912,Not progressed
HLD-000101,5,0.6356,Progress for investigation
HLD-000102,1,0.0107,Not progressed
HLD-000103,5,0.7817,Progress for investigation
HLD-000104,2,0.1257,Not progressed
HLD-000105,1,0.0254,Not progressed
HLD-000106,4,0.4481,Progress for investigation
HLD-000107,2,0.0243,Not progressed
HLD-000108,1,0.0168,Not progressed
HLD-000109,1,0.0006,Not progressed
HLD-000110,3,0.5231,Progress for investigation
HLD-000111,1,0.0122,Not progressed
HLD-000112,1,0.02,Not progressed
HLD-000113,3,0.1506,Not progressed
HLD-000114,5,0.7596,Progress for investigation
HLD-000115,3,0.4155,Progress for investigation
HLD-000116,2,0.1036,Not progressed
HLD-000117,4,0.5005,Progress for investigation
HLD-000118,1,0.0153,Not progressed
HLD-000119,1,0.0571,Not progressed
HLD-000120,1,0.0188,Not progressed
HLD-000121,2,0.2259,Not progressed
HLD-000122,1,0.0226,Not progressed
HLD-000123,4,0.4998,Progress for investigation
HLD-000124,2,0.0746,Not progressed
HLD-000125,2,0.1957,Not progressed
HLD-000126,4,0.4785,Progress for investigation
HLD-000127,3,0.1953,Not progressed
HLD-000128,4,0.5957,Progress for investigation
HLD-000129,5,0.8049,Progress for investigation
HLD-000130,2,0.1067,Not progressed
HLD-000131,1,0.0936,Not progressed
HLD-000132,4,0.6939,Progress for investigation
HLD-000133,6,0.8901,Progress for investigation
HLD-000134,3,0.2705,Not progressed
HLD-000135,1,0.0007,Not progressed
HLD-000136,1,0.0097,Not progressed
HLD-000137,1,0.0234,Not progressed
HLD-000138,6,0.9544,Progress for investigation
HLD-000139,1,0.0032,Not progressed
HLD-000140,1,0.0136,Not progressed
HLD-000141,4,0.4985,Progress for investigation
HLD-000142,1,0.0052,Not progressed
HLD-000143,1,0.0027,Not progressed
HLD-000144,2,0.2189,Not progressed
HLD-000145,4,0.6661,Progress for investigation
HLD-000146,5,0.7914,Progress for investigation
HLD-000147,2,0.0909,Not progressed
HLD-000148,2,0.1305,Not progressed
HLD-000149,2,0.0754,Not progressed
HLD-000150,1,0.0097,Not progressed
HLD-000151,1,0.0024,Not progressed
HLD-000152,1,0.0149,Not progressed
HLD-000153,4,0.6377,Progress for investigation
HLD-000154,6,0.9904,Progress for investigation
HLD-000155,4,0.6705,Progress for investigation
HLD-000156,4,0.8477,Progress for investigation
HLD-000157,4,0.5799,Progress for investigation
HLD-000158,5,0.7418,Progress for investigation
HLD-000159,2,0.0749,Not progressed
HLD-000160,2,0.1436,Not progressed
HLD-000161,4,0.5528,Progress for investigation
HLD-000162,3,0.3843,Progress for investigation
HLD-000163,2,0.0749,Not progressed
HLD-000164,4,0.6752,Progress for investigation
HLD-000165,4,0.8044,Progress for investigation
HLD-000166,6,0.9861,Progress for investigation
HLD-000167,2,0.105,Not progressed
HLD-000168,4,0.4395,Progress for investigation
HLD-000169,2,0.1939,Not progressed
HLD-000170,4,0.6744,Progress for investigation
HLD-000171,3,0.2245,Not progressed
HLD-000172,2,0.104,Not progressed
HLD-000173,1,0.0482,Not progressed
HLD-000174,1,0.0083,Not progressed
HLD-000175,5,0.8651,Progress for investigation
HLD-000176,1,0.0506,Not progressed
HLD-000177,1,0.0787,Not progressed
HLD-000178,4,0.7441,Progress for investigation
HLD-000179,2,0.1533,Not progressed
HLD-000180,3,0.3784,Progress for investigation
HLD-000181,6,0.8989,Progress for investigation
HLD-000182,3,0.1019,Not progressed
HLD-000183,3,0.4244,Progress for investigation
HLD-000184,1,0.0113,Not progressed
HLD-000185,1,0.0012,Not progressed
HLD-000186,3,0.5703,Progress for investigation
HLD-000187,3,0.5324,Progress for investigation
HLD-000188,1,0.0152,Not progressed
HLD-000189,1,0.0032,Not progressed
HLD-000190,2,0.075,Not progressed
HLD-000191,6,0.9817,Progress for investigation
HLD-000192,4,0.6297,Progress for investigation
HLD-000193,1,0.0026,Not progressed
HLD-000194,3,0.4452,Progress for investigation
HLD-000195,1,0.0337,Not progressed
HLD-000196,4,0.6557,Progress for investigation
HLD-000197,4,0.5278,Progress for investigation
HLD-000198,1,0.0087,Not progressed
HLD-000199,3,0.4477,Progress for investigation
HLD-000200,3,0.3307,Progress for investigation
HLD-000201,6,0.9277,Progress for investigation
HLD-000202,4,0.5502,Progress for investigation
HLD-000203,2,0.1582,Not progressed
HLD-000204,2,0.0536,Not progressed
HLD-000205,5,0.7525,Progress for investigation
HLD-000206,1,0.0158,Not progressed
HLD-000207,4,0.5099,Progress for investigation
HLD-000208,2,0.1423,Not progressed
HLD-000209,2,0.1569,Not progressed
HLD-000210,4,0.6476,Progress for investigation
HLD-000211,5,0.8873,Progress for investigation
HLD-000212,4,0.7265,Progress for investigation
HLD-000213,2,0.3276,Progress for investigation
HLD-000214,4,0.8148,Progress for investigation
HLD-000215,1,0.0134,Not progressed
HLD-000216,3,0.3595,Progress for investigation
HLD-000217,4,0.5221,Progress for investigation
HLD-000218,2,0.2185,Not progressed
HLD-000219,4,0.6182,Progress for investigation
HLD-000220,4,0.9225,Progress for investigation
HLD-000221,5,0.6731,Progress for investigation
HLD-000222,1,0.0527,Not progressed
HLD-000223,4,0.641,Progress for investigation
HLD-000224,3,0.5512,Progress for investigation
HLD-000225,1,0.0168,Not progressed
HLD-000226,5,0.6789,Progress for investigation
HLD-000227,2,0.0552,Not progressed
HLD-000228,1,0.0024,Not progressed
HLD-000229,2,0.1887,Not progressed
HLD-000230,1,0.0022,Not progressed
HLD-000231,3,0.1338,Not progressed
HLD-000232,1,0.0044,Not progressed
HLD-000233,1,0.0565,Not progressed
HLD-000234,1,0.0039,Not progressed
HLD-000235,2,0.0999,Not progressed
HLD-000236,4,0.6678,Progress for investigation
HLD-000237,1,0.0007,Not progressed
HLD-000238,4,0.6713,Progress for investigation
HLD-000239,6,0.9851,Progress for investigation
HLD-000240,2,0.077,Not progressed
HLD-000241,6,0.9897,Progress for investigation
HLD-000242,3,0.092,Not progressed
HLD-000243,4,0.537,Progress for investigation
HLD-000244,4,0.5805,Progress for investigation
HLD-000245,1,0.0012,Not progressed
HLD-000246,6,0.9396,Progress for investigation
HLD-000247,5,0.8405,Progress for investigation
HLD-000248,6,0.979,Progress for investigation
HLD-000249,1,0.0212,Not progressed
HLD-000250,3,0.3091,Progress for investigation
HLD-000251,1,0.0035,Not progressed
HLD-000252,6,0.9171,Progress for investigation
HLD-000253,2,0.0926,Not progressed
HLD-000254,1,0.0346,Not progressed
HLD-000255,5,0.8178,Progress for investigation
HLD-000256,4,0.7826,Progress for investigation
HLD-000257,2,0.1304,Not progressed
HLD-000258,4,0.4488,Progress for investigation
HLD-000259,4,0.6328,Progress for investigation
HLD-000260,4,0.6727,Progress for investigation
HLD-000261,1,0.0231,Not progressed
HLD-000262,4,0.6366,Progress for investigation
HLD-000263,2,0.1352,Not progressed
HLD-000264,4,0.7962,Progress for investigation
HLD-000265,5,0.6563,Progress for investigation
HLD-000266,1,0.0305,Not progressed
HLD-000267,5,0.8856,Progress for investigation
HLD-000268,1,0.0104,Not progressed
HLD-000269,4,0.6428,Progress for investigation
HLD-000270,3,0.2163,Not progressed
HLD-000271,5,0.699,Progress for investigation
HLD-000272,4,0.775,Progress for investigation
HLD-000273,1,0.0014,Not progressed
HLD-000274,2,0.1074,Not progressed
HLD-000275,6,0.9488,Progress for investigation
HLD-000276,6,0.9814,Progress for investigation
HLD-000277,2,0.2046,Not progressed
HLD-000278,1,0.0018,Not progressed
HLD-000279,5,0.8101,Progress for investigation
HLD-000280,5,0.9156,Progress for investigation
HLD-000281,1,0.0031,Not progressed
HLD-000282,4,0.3674,Progress for investigation
HLD-000283,3,0.1047,Not progressed
HLD-000284,1,0.0221,Not progressed
HLD-000285,2,0.0488,Not progressed
HLD-000286,2,0.1003,Not progressed
HLD-000287,4,0.5537,Progress for investigation
HLD-000288,2,0.2488,Not progressed
HLD-000289,2,0.1217,Not progressed
HLD-000290,4,0.4405,Progress for investigation
HLD-000291,2,0.0644,Not progressed
HLD-000292,5,0.8901,Progress for investigation
HLD-000293,3,0.4801,Progress for investigation
HLD-000294,1,0.0118,Not progressed
HLD-000295,5,0.6809,Progress for investigation
HLD-000296,2,0.0797,Not progressed
HLD-000297,1,0.0145,Not progressed
HLD-000298,3,0.1716,Not progressed
HLD-000299,4,0.7104,Progress for investigation
HLD-000300,5,0.8326,Progress for investigation
HLD-000301,4,0.7842,Progress for investigation
HLD-000302,4,0.8509,Progress for investigation
HLD-000303,1,0.0067,Not progressed
HLD-000304,4,0.5764,Progress for investigation
HLD-000305,3,0.251,Not progressed
HLD-000306,4,0.7882,Progress for investigation
HLD-000307,1,0.004,Not progressed
HLD-000308,1,0.015,Not progressed
HLD-000309,5,0.8829,Progress for investigation
HLD-000310,2,0.0589,Not progressed
HLD-000311,4,0.6706,Progress for investigation
HLD-000312,1,0.0032,Not progressed
HLD-000313,3,0.4548,Progress for investigation
HLD-000314,2,0.1161,Not progressed
HLD-000315,3,0.3634,Progress for investigation
HLD-000316,4,0.5413,Progress for investigation
HLD-000317,1,0.0103,Not progressed
HLD-000318,4,0.7683,Progress for investigation
HLD-000319,3,0.2613,Not progressed
HLD-000320,2,0.0395,Not progressed
HLD-000321,5,0.6715,Progress for investigation
HLD-000322,1,0.0111,Not progressed
HLD-000323,2,0.0779,Not progressed
HLD-000324,1,0.008,Not progressed
HLD-000325,6,0.9711,Progress for investigation
HLD-000326,1,0.0008,Not progressed
HLD-000327,2,0.0318,Not progressed
HLD-000328,3,0.4019,Progress for investigation
HLD-000329,1,0.0037,Not progressed
HLD-000330,2,0.0797,Not progressed
HLD-000331,1,0.0682,Not progressed
HLD-000332,1,0.0047,Not progressed
HLD-000333,4,0.4202,Progress for investigation
HLD-000334,3,0.5365,Progress for investigation
HLD-000335,2,0.0216,Not progressed
HLD-000336,1,0.004,Not progressed
HLD-000337,1,0.0051,Not progressed
HLD-000338,3,0.3672,Progress for investigation
HLD-000339,2,0.1194,Not progressed
HLD-000340,2,0.1407,Not progressed
HLD-000341,1,0.0644,Not progressed
HLD-000342,1,0.0259,Not progressed
HLD-000343,1,0.0022,Not progressed
HLD-000344,2,0.2716,Not progressed
HLD-000345,3,0.4656,Progress for investigation
HLD-000346,1,0.0136,Not progressed
HLD-000347,2,0.2303,Not progressed
HLD-000348,1,0.003,Not progressed
HLD-000349,1,0.0383,Not progressed
HLD-000350,2,0.0613,Not progressed
HLD-000351,1,0.0368,Not progressed
HLD-000352,5,0.8258,Progress for investigation
HLD-000353,2,0.1148,Not progressed
HLD-000354,5,0.6837,Progress for investigation
HLD-000355,3,0.2583,Not progressed
HLD-000356,3,0.2818,Not progressed
HLD-000357,5,0.8121,Progress for investigation
HLD-000358,1,0.034,Not progressed
HLD-000359,2,0.0552,Not progressed
HLD-000360,4,0.5182,Progress for investigation
HLD-000361,3,0.1714,Not progressed
HLD-000362,2,0.0356,Not progressed
HLD-000363,5,0.7369,Progress for investigation
HLD-000364,4,0.8085,Progress for investigation
HLD-000365,4,0.7771,Progress for investigation
HLD-000366,3,0.2772,Not progressed
HLD-000367,1,0.0052,Not progressed
HLD-000368,6,0.9105,Progress for investigation
HLD-000369,2,0.2024,Not progressed
HLD-000370,3,0.1172,Not progressed
HLD-000371,4,0.7608,Progress for investigation
HLD-000372,3,0.4712,Progress for investigation
HLD-000373,4,0.594,Progress for investigation
HLD-000374,2,0.0912,Not progressed
HLD-000375,4,0.6787,Progress for investigation
HLD-000376,1,0.0207,Not progressed
HLD-000377,2,0.0976,Not progressed
HLD-000378,4,0.4966,Progress for investigation
HLD-000379,1,0.0497,Not progressed
HLD-000380,2,0.2582,Not progressed
HLD-000381,2,0.3556,Progress for investigation
HLD-000382,6,0.9864,Progress for investigation
HLD-000383,6,0.9649,Progress for investigation
HLD-000384,3,0.4482,Progress for investigation
HLD-000385,1,0.0228,Not progressed
HLD-000386,1,0.0005,Not progressed
HLD-000387,1,0.0204,Not progressed
HLD-000388,2,0.0721,Not progressed
HLD-000389,1,0.0088,Not progressed
HLD-000390,1,0.0312,Not progressed
HLD-000391,3,0.4165,Progress for investigation
HLD-000392,4,0.6981,Progress for investigation
HLD-000393,5,0.9601,Progress for investigation
HLD-000394,1,0.0149,Not progressed
HLD-000395,1,0.0137,Not progressed
HLD-000396,2,0.0487,Not progressed
HLD-000397,4,0.5737,Progress for investigation
HLD-000398,6,0.9433,Progress for investigation
HLD-000399,3,0.2874,Not progressed
HLD-000400,1,0.0104,Not progressed
HLD-000401,1,0.0123,Not progressed
HLD-000402,5,0.9101,Progress for investigation
HLD-000403,4,0.726,Progress for investigation
HLD-000404,4,0.6366,Progress for investigation
HLD-000405,1,0.0108,Not progressed
HLD-000406,1,0.0085,Not progressed
HLD-000407,3,0.2373,Not progressed
HLD-000408,3,0.3956,Progress for investigation
HLD-000409,5,0.9383,Progress for investigation
HLD-000410,4,0.4886,Progress for investigation
HLD-000411,3,0.4364,Progress for investigation
HLD-000412,5,0.88,Progress for investigation
HLD-000413,4,0.6945,Progress for investigation
HLD-000414,3,0.3378,Progress for investigation
HLD-000415,5,0.7813,Progress for investigation
HLD-000416,1,0.0369,Not progressed
HLD-000417,1,0.0162,Not progressed
HLD-000418,4,0.7146,Progress for investigation
HLD-000419,3,0.1337,Not progressed
HLD-000420,5,0.798,Progress for investigation
HLD-000421,1,0.0114,Not progressed
HLD-000422,2,0.1446,Not progressed
HLD-000423,5,0.8194,Progress for investigation
HLD-000424,2,0.0903,Not progressed
HLD-000425,3,0.5076,Progress for investigation
HLD-000426,3,0.337,Progress for investigation
HLD-000427,1,0.0125,Not progressed
HLD-000428,2,0.0664,Not progressed
HLD-000429,2,0.094,Not progressed
HLD-000430,3,0.3254,Progress for investigation
HLD-000431,2,0.0619,Not progressed
HLD-000432,3,0.3413,Progress for investigation
HLD-000433,1,0.0089,Not progressed
HLD-000434,1,0.0327,Not progressed
HLD-000435,4,0.604,Progress for investigation
HLD-000436,2,0.1968,Not progressed
HLD-000437,2,0.3547,Progress for investigation
HLD-000438,1,0.0271,Not progressed
HLD-000439,2,0.0332,Not progressed
HLD-000440,1,0.0128,Not progressed
HLD-000441,5,0.9294,Progress for investigation
HLD-000442,3,0.3434,Progress for investigation
HLD-000443,1,0.0031,Not progressed
HLD-000444,2,0.0276,Not progressed
HLD-000445,5,0.665,Progress for investigation
HLD-000446,3,0.3041,Progress for investigation
HLD-000447,4,0.4787,Progress for investigation
HLD-000448,5,0.8624,Progress for investigation
HLD-000449,5,0.8004,Progress for investigation
HLD-000450,5,0.6558,Progress for investigation
HLD-000451,1,0.0493,Not progressed
HLD-000452,2,0.0535,Not progressed
HLD-000453,1,0.0075,Not progressed
HLD-000454,1,0.0122,Not progressed
HLD-000455,4,0.3897,Progress for investigation
HLD-000456,3,0.117,Not progressed
HLD-000457,3,0.341,Progress for investigation
HLD-000458,1,0.0023,Not progressed
HLD-000459,1,0.007,Not progressed
HLD-000460,4,0.5782,Progress for investigation
HLD-000461,1,0.0223,Not progressed
HLD-000462,5,0.9199,Progress for investigation
HLD-000463,1,0.0052,Not progressed
HLD-000464,3,0.245,Not progressed
HLD-000465,2,0.1032,Not progressed
HLD-000466,5,0.8583,Progress for investigation
HLD-000467,2,0.0257,Not progressed
HLD-000468,1,0.0194,Not progressed
HLD-000469,3,0.1511,Not progressed
HLD-000470,4,0.6619,Progress for investigation
HLD-000471,1,0.0107,Not progressed
HLD-000472,2,0.113,Not progressed
HLD-000473,1,0.0017,Not progressed
HLD-000474,1,0.0349,Not progressed
HLD-000475,3,0.233,Not progressed
HLD-000476,5,0.7501,Progress for investigation
HLD-000477,3,0.4837,Progress for investigation
HLD-000478,3,0.2696,Not progressed
HLD-000479,1,0.0304,Not progressed
HLD-000480,1,0.0059,Not progressed
HLD-000481,2,0.0782,Not progressed
HLD-000482,4,0.9011,Progress for investigation
HLD-000483,3,0.436,Progress for investigation
HLD-000484,1,0.0055,Not progressed
HLD-000485,1,0.0198,Not progressed
HLD-000486,6,0.7434,Progress for investigation
HLD-000487,5,0.7749,Progress for investigation
HLD-000488,5,0.85,Progress for investigation
HLD-000489,3,0.4657,Progress for investigation
HLD-000490,2,0.0668,Not progressed
HLD-000491,2,0.1201,Not progressed
HLD-000492,3,0.3846,Progress for investigation
HLD-000493,1,0.0009,Not progressed
HLD-000494,5,0.7139,Progress for investigation
HLD-000495,2,0.1376,Not progressed
HLD-000496,3,0.4269,Progress for investigation
HLD-000497,1,0.0035,Not progressed
HLD-000498,1,0.0399,Not progressed
HLD-000499,6,0.8721,Progress for investigation
HLD-000500,3,0.2486,Not progressed
